번호,제목,내용,지역,지원분야대,사업번호,지원기간,지원대상,업종,조회수,활성화,등록일자,접수기관_담당부서,기업형태,접수기관명,접수팀,접수기관_전화번호,접수기관_홈페이지URL,접수기관_담당자명,접수기관_담당자e-mail
463,해양수산 투자유치 지원(2020년 해양수산 창업ㆍ투자 지원사업 지원대상 통합 공고),"해양수산산업 이해ㆍ관심도 제고 및 민간 투자 촉진을 위해 해양수산분야 투자기관 네트워크 구축을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 투자유치를 희망하는 해양수산분야 중소ㆍ벤처기업<br />&nbsp;<br />☞ 기업 IR, 투자검토, 투자자와의 1:1 상담 등 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@펀드/투자@컨설팅,PBLN_000000000049220,추후 공지,창업벤처,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1298,1,2020-01-23 16:42,해양수산부,중소기업,해양수산과학기술진흥원,창업투자팀,02-3460-4023,https://www.kimst.re.kr/,박선영,sypark@kimst.re.kr
464,2019년 대ㆍ중소기업 동반진출사업 주관기업 추가모집 공고(상시),"해외진출 역량이 부족한 중소기업의 해외진출 촉진을 위하여 대기업의 해외 네트워크 및 인프라를 활용한 공동 마케팅 및 해외진출을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 주관기업(대기업, 공공기관, 중견기업)과 중소기업 5개사 이상으로 이루어진 컨소시엄<br />&nbsp;<br />☞ 한류연계, 해외 홈쇼핑, 해외거점 사업 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,동반성장@수출@동반성장@해외진출,PBLN_000000000049147,예산 소진시까지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",3996,1,2020-01-23 9:04,중소벤처기업부,중소기업@중견기업,대중소기업농어업협력재단,사업담당부서,하단의 문의처 참조,https://win-win.or.kr/,분야별 담당자,gw@win-win.or.kr
465,일반경영안정자금(2020년 중소벤처기업부 소관 소상공인 정책자금 융자계획),"소상공인의 자생력 제고 및 생업안전망 구축을 위한 자금을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 소상공인 보호 및 지원에 관한 법률 제2조의 소상공인<br />&nbsp;<br />☞ 일반자금, 장애인자금, 특별경영안정자금, 재도전특별자금, 코로나19 경영안정자금&nbsp;등 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@창업@융자@디자인/상품화/사업화@사업화지원,PBLN_000000000049183,"매월 둘째, 셋째 주",소상공인,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",4655,1,2020-01-22 17:38,중소벤처기업부,소상공인,소상공인시장진흥공단,전국 62개 지역센터,하단의 첨부파일 참조,http://www.semas.or.kr,사업담당자,NULL
466,긴급경영안정자금(대리대출)-일반경영안정자금(2020년 중소벤처기업부 소관 소상공인 정책자금 융자계획),"<div>재해소상공인의 안정적인 영업기반 조성을 위하여 재해ㆍ단기침체 및 위기극복 등 긴급한 자금소요를 지원해 드리는 사업입니다.</div>
<div>&nbsp;</div>
<div>☞ 재해 확인증을 발급받은 소상공인<br />&nbsp;<br />☞ 대출한도 업체당 7천만원 한도 지원</div>",인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주@서울@부산@대구,금융@경영@융자@디자인/상품화/사업화,PBLN_000000000049178,"매월 둘째, 셋째 주",소상공인,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",2302,1,2020-01-22 17:38,중소벤처기업부,소상공인,소상공인시장진흥공단,전국 62개 지역센터,하단의 첨부파일 참조,http://www.semas.or.kr,사업담당자,NULL
467,특별경영안정자금(대리대출)-일반경영안정자금(2020년 중소벤처기업부 소관 소상공인 정책자금 융자계획),"조선업 구조조정, 핵심기업 폐쇄 발표 등으로 지역경제 위기가 우려되는 지역의 소상공인 자금난 해소 및 경영안정을 위하여 인건비 등 기업경영에 소요되는 자금을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 고용위기지역, 산업위기대응특별지역, 조선사 소재지역 등 지역경제위기가 우려되는 지역 소재 소상공인<br />&nbsp;<br />☞ 대출한도 기업당 7천만원 지원",부산@울산@강원@전북@전남@경남,금융@경영@융자@디자인/상품화/사업화,PBLN_000000000049177,"매월 둘째, 셋째 주",소상공인,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1600,1,2020-01-22 17:37,중소벤처기업부,소상공인,소상공인시장진흥공단,전국 62개 지역센터,하단의 첨부파일 참조,http://www.semas.or.kr,사업담당자,NULL
468,2020년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고,중소벤처기업부에서 소상공인의 안정적 성장 및 경영을 위하여 소상공인 정책자금을 지원해 드립니다.<br />&nbsp;<br />☞ 소상공인 보호 및 지원에 관한 법률 제2조의 소상공인<br />&nbsp;<br />☞ 개별기업당 융자한도 7천만원까지 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@창업@융자@디자인/상품화/사업화@사업화지원,PBLN_000000000049181,"매월 둘째, 셋째 주",소상공인,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",2663,1,2020-01-22 17:35,중소벤처기업부,소상공인,소상공인시장진흥공단,전국 62개 지역센터,하단의 첨부파일 참조,http://www.semas.or.kr,사업담당자,NULL
469,일반자금(대리대출)-일반경영안정자금(2020년 중소벤처기업부 소관 소상공인 정책자금 융자계획),소상공인의 자생력 제고 및 생업안전망 구축을 위하여&nbsp; 제품생산 비용 및 기업경영에 소요되는 자금을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 소상공인 보호 및 지원에 관한 법률 제2조의 소상공인<br />&nbsp;<br />☞ 대출한도 기업당 7천만원 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@융자@디자인/상품화/사업화,PBLN_000000000049174,"매월 둘째, 셋째 주",소상공인,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",3691,1,2020-01-22 17:34,중소벤처기업부,소상공인,소상공인시장진흥공단,전국 62개 지역센터,하단의 첨부파일 참조,http://www.semas.or.kr,사업담당자,NULL
470,소프트파워 서비스 활용지원(2020년 제조업 소프트파워 강화지원 사업 시행계획 공고),제조기업과 소프트파워 기업 간 상생협력 기반 구축을 위하여 아웃소싱 및 컨설팅 등 중소ㆍ중견 제조기업의 소프트파워 서비스 활용 비용을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 소프트파워 역량 강화가 필요한 중소ㆍ중견 제조기업<br />&nbsp;<br />☞ 기관당 정부출연금 3∼5천만원 이내 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@기술사업화/이전/지도@컨설팅,PBLN_000000000049153,20200212 ~ 20200318,중소기업,제조업(10~34),1460,1,2020-01-22 17:31,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,기업성장지원팀,02-6009-3516,http://www.kiat.or.kr/,사업담당자,jinyj87@kiat.or.kr
471,공장없는 제조기업 활성화지원(2020년 제조업 소프트파워 강화지원 사업 시행계획 공고),글로벌 제조업 新트렌드인 '공장없는 제조기업'의 활성화를 도모하기 위하여 소프트파워 전문기업의 신규 제품(시제품 등) 생산과 관련된 아웃소싱 비용을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 생산 아웃소싱 활용이 필요한 중소 소프트파워 기업(공장없는 제조기업)<br />&nbsp;<br />☞ 기관당 정부출연금 3∼5천만원 이내 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@기술사업화/이전/지도@디자인/상품화/사업화,PBLN_000000000049162,20200212 ~ 20200318,중소기업,제조업(10~34),3362,1,2020-01-22 17:30,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,기업성장지원팀,02-6009-3516,http://www.kiat.or.kr/,사업담당자,jinyj87@kiat.or.kr
472,2020년 1차 에너지기술개발사업 신규지원 대상과제 공고,"<p style=""margin: 0px"">에너지 환경변화에 대응하고 에너지산업의 신성장동력화를 달성하기 위해 에너지수요관리핵심기술개발, 원자력핵심기술개발 등 에너지 기술개발 과제를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구기관, 연구조합, 사업자단체, 의료기관 등이 주관기관으로 참여</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 1,330억원 내외 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@경영@공동기술개발@기술사업화/이전/지도@디자인/상품화/사업화,PBLN_000000000049144,공모별 상이,중소기업,"전문, 과학 및 기술 서비스업(70~73)",1439,1,2020-01-22 16:36,산업통상자원부,중소기업@중견기업,한국에너지기술평가원,세부사업별 담당부서,하단의 문의처 참조,http://www.ketep.re.kr,사업담당자,NULL
473,"2020년 1차 미래성장동력(반도체, 디스플레이, 임베디드) 신규지원 대상과제 공고","<p style=""margin: 0px"">미래 우리나라의 먹거리가 될 새로운 산업 창출과 생태계 조성을 위해 반도체 분야, 디스플레이 분야, 임베디드 분야의 핵심기술 개발을 지원해 드리는 사업입니다.&nbsp; <br />&nbsp;<br />☞ 기업, 대학, 연구기관, 연구조합, 사업자단체, 의료기관 등이 주관기관으로 참여<br />&nbsp;<br />☞ 차세대시스템반도체 설계ㆍ소자ㆍ공정기술개발, OLED공정장비용핵심부품, 산업용지능융합부품 과제 등 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@공동기술개발,PBLN_000000000049143,20200121 ~ 20200313,중소기업,"전문, 과학 및 기술 서비스업(70~73)",618,0,2020-01-22 16:30,산업통상자원부,중소기업@중견기업,한국산업기술평가관리원,반도체디스플레이팀,하단의 문의처 참조,http://www.keit.re.kr/,세부사업별 담당자,NULL
474,2020년 제조 중소기업 혁신바우처 사업 지원계획 공고,"성장 가능성 높은 제조 중소기업의 경쟁력 강화를 위하여 기업 특성에 따라 3개 분야(컨설팅, 기술지원, 마케팅) 14개 프로그램을 바우처 형태로 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 평균(3년)매출액 120억원 이하 제조 소기업<br />&nbsp;<br />☞ 3개 분야(컨설팅, 기술지원, 마케팅) 14개 프로그램 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@창업@기술사업화/이전/지도@컨설팅@재기지원,PBLN_000000000049157,지역별 상이,중소기업,제조업(10~34),8723,1,2020-01-22 16:16,중소벤처기업부,중소기업,중소벤처기업진흥공단,중소기업 통합콜센터,국번없이 1357,http://www.kosmes.or.kr/,사업담당자,NULL
475,2020년 HACCP 위생안전시설 개선자금지원 사업계획 공고,안전한 식품 및 축산물 제조ㆍ가공 기반 조성을 위해 HACCP 적용에 소요되는 위생안전 시설 및 설비 등 소요자금을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ HACCP 의무적용 유형 식품제조ㆍ가공 소규모 업소 및 작업장(식육가공업)<br />&nbsp;<br />☞ HACCP 적용에 소요되는 위생안전시설 등 설치자금(최대 2천만원) 50% 무상 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@금융@시설/입지지원@융자,PBLN_000000000049159,예산 소진시까지,중소기업,제조업(10~34),1501,1,2020-01-22 16:15,식품의약품안전처,중소기업@소상공인,한국식품안전관리인증원,관할 한국식품안전관리인증원,하단의 문의처 참조,https://www.haccp.or.kr/,사업담당자,NULL
476,천연가스 공급시설 설치자금(2020년 1분기 환경정책자금 융자사업 지원 공고),환경산업 중소기업을 대상으로 천연가스 공급 시설 설치를 위한 시설자금을 융자 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ ‘도시가스충전사업허가’를 득한 자로서 자동차 천연가스공급(충전)시설 및 그 부대시설을 설치하려는 사업자<br />&nbsp;<br />☞ 시설자금분야 30억원 한도 지원<br />,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@융자@시설/입지지원,PBLN_000000000049114,상시 접수,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)@교육 서비스업(85)",1048,1,2020-01-21 18:08,환경부,중소기업,한국환경산업기술원,사업담당부서,(대표번호) 02-2284-1732~1736,http://www.keiti.re.kr/,분야별 담당자,NULL
477,2020년 상반기 기술창업 자금지원사업 시행계획 공고(농림축산식품분야 우수기술사업화지원사업),농림축산식품분야 우수기술의 사업화 촉진 및 기업 육성을 위하여 우수기술의 사업화에 필요한 자금을 저리융자로 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 농림식품업종분류에 해당하는 기술을 보유하고 이를 실용ㆍ사업화하고자 하는 농업법인 또는 중소기업<br />&nbsp;<br />☞ 기업 당 최대 20억 원 이내 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@기술@융자@기술사업화/이전/지도,PBLN_000000000049108,예산 소진시까지,중소기업,"농업, 임업 및 어업(01~03)@제조업(10~34)",2368,1,2020-01-21 16:50,농림축산식품부,중소기업,농업기술실용화재단,기술평가팀,063-919-1343,https://www.fact.or.kr/,송영헌,yeongheon@efact.or.kr
478,한국보건산업진흥원 한-덴마크 피부질환 및 면역분야 기업 피칭 참여기업 모집공고,국내 피부 및 면역분야 제약바이오기업의 피칭 기회 제공을 통한 덴마크 기업과 파트너십 구축 및 유럽시장 진출을 위해 '한-덴마크 피부질환 및 면역분야 기업 피칭' 행사 참가를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 국내 피부질환 및 면역 관련 바이오테크 솔루션을 보유한 기업<br />&nbsp;<br />☞ 비즈니스 협업 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충남@전북@전남@경북@경남@제주@충북,수출@기술@창업@시장개척@기술사업화/이전/지도@사업화지원,PBLN_000000000049037,20200120 ~ 20200320,중소기업,제조업(10~34)@보건업 및 사회복지 서비스업(86~87),527,1,2020-01-20 17:34,보건복지부,중소기업,한국보건산업진흥원,제약바이오글로벌팀,대표번호 043-713-8000,https://www.khidi.or.kr/,김지영,jane@khidi.or.kr
479,2020년 사회적기업 인증 계획 및 심사기준 공고,"사회적기업 인증을 원하는 법인ㆍ조합, 단체 등을 사회적기업으로 육성하기 위해 인증 계획 및 심사 기준을 안내합니다.<br />&nbsp;<br />☞ 민법상 법인ㆍ조합, 상법상 회사ㆍ합자조합, 특별법에 따라 설립된 법인<br />&nbsp;<br />☞ 사회적기업 인증",서울@부산@대구@인천@광주@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주@대전,제도@경영@인증@디자인/상품화/사업화,PBLN_000000000049036,연중 상시,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",3682,1,2020-01-20 17:16,고용노동부,중소기업,한국사회적기업진흥원,인증지원팀,031-697-7721,http://www.socialenterprise.or.kr/,사업담당자,NULL
480,2020년 1차 해외 우수신진연구자 유치사업(KRF) 공고,"잠재력 있는 해외 우수신진연구자가 국내에 장기체류하며 우수성과를 창출하고 우리나라 연구역량을 강화할 수 있도록 신진연구자에 대한 인건비, 체재비 등을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 정부출연연구기관, 국ㆍ공립연구기관, 대학 및 대학부설연구기관, 기업부설연구소<br />&nbsp;<br />☞ 신진연구자 인건비, 체재비 등",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,인력@기술@해외인력@기술인력/장비지원,PBLN_000000000049026,20200210 ~ 20200331,중소기업,"제조업(10~34)@전문, 과학 및 기술 서비스업(70~73)",833,1,2020-01-20 16:54,과학기술정보통신부,중소기업@중견기업,한국연구재단,국제연구협력팀,02-3460-5647,http://www.nrf.re.kr/,사업담당자,shongk@nrf.re.kr
481,2020년 차세대지능형반도체기술개발 신규지원 대상과제 공고,"<p style=""margin: 0px"">4차 산업혁명시대의 차세대 반도체 설계 핵심기술 확보를 통한 新시장분야 상용화 및 제조기반기술 개발을&nbsp;지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구소, 연구조합 등<br /></p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ (반도체 분야) 차세대 지능형 반도체 기술개발 과제&nbsp;지원<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@경북@경남@제주@전남,기술@기술@단독기술개발@기술사업화/이전/지도,PBLN_000000000049087,20200120 ~ 20200313,중소기업,"전문, 과학 및 기술 서비스업(70~73)",838,0,2020-01-20 16:52,산업통상자원부,중소기업@중견기업,한국산업기술평가관리원,사업담당부서,02-6009-8754,http://www.keit.re.kr/,사업담당자,NULL
482,2020년 온라인수출기업화사업 참여기업 및 참가자 모집 공고,"중소기업의 온라인수출 활성화 기반조성을 위하여 내수ㆍ수출초보기업의 온라인수출기업화 및 전자상거래 전문인력 양성을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 중소기업기본법 제2조에 따른 중소기업<br />&nbsp;<br />☞ 내수ㆍ수출초보기업의 온라인수출기업화, 전자상거래 전문인력 양성 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,수출@인력@경영@해외수출준비@국내전문인력@컨설팅,PBLN_000000000049023,분야별 상이,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",3934,1,2020-01-17 16:56,중소벤처기업부,중소기업,중소벤처기업진흥공단,온라인수출처,02-2130-1482,http://www.kosmes.or.kr/,김영준,sarchery@kosmes.or.kr
483,2020년 중소기업 사회적책임경영(CSR) 코칭 지원사업 공고,"중소기업의 사회적 책임경영 지원을 위하여 글로벌 시장 진출이나 대ㆍ중소기업간 거래시 사회적 책임경영(CSR) 진단 등을 전문가 코칭으로 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 중소기업기본법 제2조에 의한 중소기업<br />&nbsp;<br />☞ CSR 긴급대응 코칭, CSR 사전대응 코칭 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@수출@컨설팅@해외수출준비,PBLN_000000000048946,예산 소진시까지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1298,1,2020-01-16 17:29,중소벤처기업부,중소기업,한국생산성본부,지속가능경영센터,02-398-7669,http://www.kpc.or.kr/,사업담당자,NULL
484,2020년 초절전LED융합기술개발사업 신규지원 대상과제 공고,"<p style=""margin: 0px"">4차 산업혁명 변화의 기반기술을 제공하고 에너지 절감 및 세계 기후변화협약에 주도적으로 대응하기 위해 차세대 광원인 마이크로 LED 및 융합 신기술 개발을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구기관, 연구조합, 사업자단체 등</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 공고예산 20.74억원(정부출연금) 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000048974,20200120 ~ 20200316,중소기업,"전문, 과학 및 기술 서비스업(70~73)",581,0,2020-01-16 16:52,산업통상자원부,중소기업@중견기업,한국산업기술평가관리원,융합신산업팀,053-718-8484,http://www.keit.re.kr/,사업담당자,NULL
